Rhythm,vibrance,key,Decibel_Levels,mode,lyrics_amount,acoustics,instruments,bounce,valence,Beats_Speed,type,TimeLength,title,Hyperactivity,MusicEraRating,genre
3.9262,7.67,7,-8.565,1,1.216,0.00646,0.872,0.684,0.0358,150.04,audio_features,182400,,5.371432,19,Dark Trap
5.5141,7.83,0,-6.274,1,0.616,0.21,0,0.226,0.199,141.882,audio_features,191437,,28.234518,1,Rhythm & Blues
4.5024,7.7,8,-5.454,1,1.18,0.0169,0,0.16,0.667,164.14,audio_features,297920,,109.48138,9,Rhythm & Blues
5.0652,6.48,0,-5.287,1,0.2924,0.118,0,1.03,0.657,161.958,audio_features,166146,,106.406406,11,Hiphop
3.0485,8.97,1,-4.487,0,0.1632,0.0143,0.00022,0.6,0.104,149.992,audio_features,184000,Ready2GetMaggot?,15.599168,4,hardstyle
4.4756,9.4,6,-6.742,1,0.1456,0.0224,0.682,0.115,0.822,135.975,audio_features,202493,Top Trance Songs EVER,111.77145,7,trance
3.0418,7.73,7,-6.763,0,0.1352,0.0223,0.406,0.1832,0.101,174.075,audio_features,272414,UKF Drum & Bass - All Uploads,17.581575,6,Drums & Bass
3.3165,8.84,1,-4.112,0,0.1384,0.0465,0.000578,0.212,0.171,174.043,audio_features,232069,Liqduicity Drum & Bass,29.761353,15,Drums & Bass
5.9831,6.76,9,-4.867,0,0.908,0.324,0,0.1936,0.804,125.923,audio_features,152213,,101.242092,7,Hipstter-Hop
3.5309,9.97,8,-3.744,0,0.412,0.00447,0.797,0.358,0.426,170.062,audio_features,257525,UKF Drum & Bass - All Uploads,72.446412,6,Drums & Bass
5.1322,7.2,1,-8.347,1,0.616,0.293,0,0.214,0.487,151.901,audio_features,195536,,73.975787,12,Hiphop
5.1791,3.46,0,-10.398,1,0.2552,0.0272,0.000483,0.212,0.106,119.948,audio_features,170918,,12.714488,10,Dark Trap
5.36,8.88,5,-9.613,0,0.3936,0.00152,0.864,0.0756,0.68,130.009,audio_features,444920,Tech House Elrow Secrets,88.40612,13,Electro
3.953,9.48,7,-7.902,1,0.1788,0.000159,0.911,0.1846,0.057,135.976,audio_features,364994,ASOT,7.750632,8,trance
4.5761,8.9,7,-6.738,1,0.1572,0.000304,0.103,0.808,0.158,125.007,audio_features,219840,blanc | Tech House,19.751106,9,Electro
2.5795,8.09,11,-7.233,0,0.1884,0.0597,0.0919,0.1742,0.243,125.997,audio_features,179048,BOILER ROOM TECHNO HOUSE,30.617271,15,Electro
3.3835,9.34,10,-5.06,1,0.166,0.0953,0.0179,0.678,0.307,150.1,audio_features,168000,Best of Hardstyle 2020,46.0807,1,hardstyle
3.685,9.27,1,-1.88,1,0.68,8.48E-05,0.599,0.1496,0.495,174.017,audio_features,315310,UKF Drum & Bass - All Uploads,86.138415,12,Drums & Bass
4.3014,9.28,11,-4.445,0,0.2052,1.86E-05,0.817,0.258,0.193,143.977,audio_features,436667,PSYTRANCE BANGERS best new 2020,27.787561,13,psytrance
1.8559,8.99,5,-6.554,0,0.178,0.00412,0.727,0.442,0.0953,127.005,audio_features,233995,Trance 100 Chart - by Armada Music,12.1035765,15,trance
3.6783,4.97,3,-8.645,0,0.88,0.00436,0,0.1396,0.113,131.838,audio_features,84558,,14.897694,7,Hipstter-Hop
2.1775,7.97,9,-3.85,1,0.1724,0.0227,0.000223,1.172,0.247,149.995,audio_features,206400,Euphoric Hardstyle,37.048765,19,hardstyle
3.3634,7.86,9,-4.378,0,1.268,0.255,0,1.3,0.739,169.021,audio_features,243491,,124.906519,12,Hipstter-Hop
5.0853,6.99,0,-5.745,0,0.1228,0.202,0.000131,0.886,0.907,185.92,audio_features,211067,,168.62944,6,Pop
4.9848,6.99,6,-9.348,0,0.424,0.29,0.00341,0.167,0.519,114.993,audio_features,107807,,59.681367,16,Hipstter-Hop
4.0267,9.46,9,-4.845,1,0.58,0.00854,0.568,0.59,0.166,150.034,audio_features,207050,I'm a fucking Headbanger,24.905644,16,trap
3.4103,9.22,9,-3.259,0,0.3492,0.00383,0,0.256,0.505,154.997,audio_features,244645,Best Hardstyle ever made,78.273485,9,hardstyle
5.226,8.05,0,-6.253,1,0.2116,0.00126,0.797,0.1254,0.953,123.986,audio_features,202258,Dirtybird//Techhouse by Mack\,118.158658,5,Electro
5.0652,4.9,10,-12.265,0,0.44,0.25,0.403,0.21,0.606,165.05,audio_features,186867,,100.0203,14,Hiphop
4.2545,6.97,6,-6.088,0,0.62,0.000426,0.326,0.324,0.0395,139.973,audio_features,222857,RIDDIM,5.5289335,15,trap
4.0736,9.4,8,-7.715,0,0.1624,0.000218,0.732,0.942,0.356,146.996,audio_features,417959,PsyTrance 2020 felipe,52.330576,7,psytrance
3.1088,7.55,1,-9.924,0,0.1452,0.00703,0.464,0.1404,0.247,145.004,audio_features,181246,,35.815988,3,Dark Trap
4.8575,7.37,7,-6.473,0,0.408,0.00237,0.281,0.482,0.599,131.998,audio_features,481993,UPLIFTING TRANCE 2020,79.066802,15,trance
5.2729,7.66,1,-4.941,1,1.14,0.0238,0,0.566,0.406,109.164,audio_features,195971,,44.320584,8,Hipstter-Hop
2.8676,8.79,3,-4.918,1,0.1896,0.0176,3.79E-06,0.1638,0.412,149.958,audio_features,275224,,61.782696,2,Emotional
6.0367,6.49,2,-6.442,1,0.3316,0.00263,0.624,0.286,0.29,124.031,audio_features,290927,Dirtybird House,35.96899,6,Electro
2.5661,5.79,1,-3.765,0,0.412,0.198,0.00184,1.034,0.103,173.044,audio_features,547733,,17.823532,8,Hiphop
3.0485,9.33,7,-5.288,0,0.796,0.153,0.00885,0.224,0.176,139.874,audio_features,283952,I'm a fucking Headbanger,24.617824,2,trap
5.4605,8.24,1,-2.709,1,0.3044,0.0083,0,0.702,0.29,120.031,audio_features,272680,,34.80899,19,Rap
3.9195,8.96,0,-7.334,1,0.52,0.00985,0.187,0.426,0.151,137.955,audio_features,240086,State if Trance (The best ASOT Epsidoes),20.831205,9,trance
4.8776,8.28,6,-7.591,1,0.174,0.000802,0.875,0.1708,0.255,124.987,audio_features,387769,Techno Music 2020 | Best Techno,31.871685,4,techno
3.6247,8.66,2,-2.89,1,0.2912,0.00582,0.745,0.1336,0.103,172.004,audio_features,320000,Liquid Drum & Bass,17.716412,2,Drums & Bass
4.2612,5.93,11,-6.759,1,1.068,0.134,0,0.394,0.3,160.207,audio_features,111187,,48.0621,10,Dark Trap
2.4053,9.21,10,-5.938,1,0.3604,0.0065,0.00251,0.304,0.0391,128.416,audio_features,207087,Best of Trance,5.0210656,1,trance
4.4555,6.3,6,-8.576,0,0.604,0.183,0.000297,0.63,0.167,133.079,audio_features,206474,,22.224193,5,Dark Trap
5.3064,5.45,10,-10.705,0,0.3384,0.0139,0.000506,0.216,0.393,203.948,audio_features,207125,,80.151564,1,Hipstter-Hop
4.3684,9.43,7,-5.903,1,0.2128,7.36E-05,0.811,0.208,0.174,142.025,audio_features,534085,PsytranceL Full on Progressive (&Goa),24.71235,15,psytrance
4.6364,8.32,1,-8.682,0,0.3052,0.0306,0.44,0.192,0.328,174.026,audio_features,312015,Liquid Drum & Bass,57.080528,2,Drums & Bass
3.2763,9.14,6,-4.636,1,1.452,0.491,0,0.894,0.854,162.15,audio_features,178360,,138.4761,17,Hiphop
5.7218,7.1,4,-9.897,1,0.424,7.00E-05,0.802,0.177,0.528,123.991,audio_features,409794,Dirtybird//Techhouse by Mack\,65.467248,16,Electro
4.422,7.99,8,-4.644,1,0.398,0.106,0,0.308,0.475,125.966,audio_features,200227,,59.83385,10,Emotional
2.6264,8.39,7,-1.921,1,0.772,0.158,0,0.6,0.232,168.001,audio_features,238693,,38.976232,9,Rap
6.1707,5.67,10,-7.911,0,1.204,0.127,0,0.612,0.641,183.986,audio_features,166957,,117.935026,7,Dark Trap
